Sentence,Sentiment,Etiqueta
The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,positive,correcta
"this was a relative price change of -0.4 % ., Operating profit totaled EUR 5.5 mn, up from EUR -0.7 mn .",positive,incorrecta
"efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations .",positive,correcta
"metals price fears, `` The combined activities will create value for shareholders and be good for our employees and customers, FTSE 100 drops 2.5 pct on Glencore.",negative,incorrecta
"compared with last year 's 0.12 eur ., Quarterly diluted EPS on continuing operations came in at 0.21 eur, 2 m last year, The company said that sales in the three months to the end of March slid to EUR86.",negative,incorrecta
"The net sales decreased to EUR 49, SABMiller deal.",negative,incorrecta
"Prices and delivery volumes of broadband products decreased significantly in 2005, Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27, and above market expectations of 0.28 eur .",negative,incorrecta
"making it a natural addition to Bunge, '' Raisio CEO Matti Rihko said in a statement ., 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .",positive,incorrecta
@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,positive,correcta
"19 euro ), co/3ffN $$, TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23, $SPY $MITK fast 56pc dive http://stks.",positive,incorrecta
"Sales rose to 300, The reduction notice applied to 17 people.",negative,incorrecta
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",negative,correcta
"CompaniesMeggitt profits hit by weak energy and military markets, 4 ) million.",negative,incorrecta
"due to back seat issue. $TSLA https://t.co/NPAkc3U6GS, Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America.",positive,incorrecta
"Payment for acquired shares will be made in cash , and the price per share will be EUR 1 plus an administration fee .",neutral,correcta
"dailystockplays, which obtained Tikkurila shares in March 2010 ., End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www, The sale will result in a capital loss of EUR5m for Solidium.",positive,incorrecta
"Full-year operating result for 2008 was 3, up from EUR 8.65 mn ., 6 million negative.",positive,incorrecta
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .,positive,correcta
"$vxx starting to creep up while $spy sits near hod, down from EUR 14.3 mn in 2009 ., Profit for the period was EUR 10.9 mn.",negative,incorrecta
"The OMX Helsinki index was down 0.34 pct at 8, 256.02 on turnover of 813.191 mln eur ., The company expects net sales to significantly increase from 2009.",negative,incorrecta
"Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement, At 12.59 pm.",positive,incorrecta
"CompaniesNew Aggreko CEO to reshape business, 6 mn, strip costs.",negative,incorrecta
The amendment will not incur additional costs .,neutral,correcta
MillerCoors Board Names Gavin Hattersley Interim CEO,neutral,correcta
"Department store sales improved by 14 % to EUR 1, 070.6 mn ., More than a third of the original participants dropped out due to nausea and other side effects.",negative,incorrecta
"consumers compare products more than previously and Finnish companies are not competitive ., 2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc.",negative,incorrecta
"This stock is a buy, Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers.",negative,incorrecta
"`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe, As capacity was cut with 1.4 %, the passenger load factor was down 7.8 percentage points .",positive,incorrecta
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,neutral,correcta
"what #stocks large players are selling http://stks, New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.",positive,incorrecta
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,negative,correcta
"Sanoma News ' advertising sales decreased by 22 % during the year, AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US.",positive,incorrecta
It includes options for additional 30 communal building sites as well as construction supervision works for all construction sites .,neutral,correcta
"they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner, Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 ., Watch these bancos.",negative,incorrecta
"The company 's consolidated operating profit amounted to EUR 15.86 mn, The OMX Nordic 40 OMXN40 index.",positive,incorrecta
Talentum 's net sales in September were smaller than expected .,negative,correcta
"Earnings per share ( EPS ) amounted to a loss of to EUR0, Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008.",negative,incorrecta
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,positive,correcta
"Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day ., UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers, During the strike.",positive,incorrecta
Device volume in the area decreased by 21 % to 2.7 mn units .,negative,correcta
"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen, especially in Finland, the bank 's aim is to triple the number of its customers in Finland in the next five years .",negative,incorrecta
"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 .",neutral,correcta
"Aspo Plc STOCK EXCHANGE RELEASE February 11, $BOBE down $2, part of Aspo Group.",positive,incorrecta
"Sainsbury sells unit to LloydsPharmacy, $FB trend.",negative,incorrecta
"the company has an ongoing MMX Plus project that aims to find growth outside Finland ., According to Olvi 's Managing Director Lasse Aho, Should have the channel cleared soon and on solid footing, $520 is new floor come July! :).",negative,incorrecta
"compared to EUR 8.4 in the corresponding period in 2007 ., Sanoma Magazines ' net sales are estimated to grow in 2006.",negative,incorrecta
RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,neutral,correcta
"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .",positive,correcta
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,neutral,correcta
"The group will expand the chain to include 45 stores, $GRPN might be selling off ahead of $P earnings.",negative,incorrecta
"The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .",neutral,correcta
"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .",neutral,correcta
"518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4, 711.19 ., Tesla to recall 2.",positive,incorrecta
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,negative,correcta
"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",neutral,correcta
"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology, Investors Remain Skeptical About Shell-BG Deal.",negative,incorrecta
And Ogden reportedly will shell out $ 4.2 million .,neutral,correcta
"using VWAP as guide, Nokia Siemens Networks has struggled to make a profit in the past two years, took some $ENDP long this am.",positive,incorrecta
"AB InBev attacks SABMiller bid rebuffal, In China, escalators.",positive,incorrecta
"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .",neutral,correcta
"@mugatushair Now it is time to short $TSLA, `` I am extremely delighted with this project and the continuation of cooperation with Viking Line.",positive,incorrecta
"https://t, The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant.",positive,incorrecta
"#Apple up almost 20% from its February lows with very little fanfare, Bank of +àland 's net interest income weakened by 10 % to EUR 9.1 mn .",positive,incorrecta
The full-function PC weighs 1.25 kilograms and measures slightly more than two centimeters thin .,neutral,correcta
"The estimated turnover of the new company is LVL 2,5 million EEK 40 million .",neutral,correcta
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",negative,correcta
"Svyturys-Utenos Alus, Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit, which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",positive,incorrecta
"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",neutral,correcta
"Net profit fell by almost half to +é 5, '' the release says .",negative,incorrecta
"Net interest income totaled EUR 15.9 mn , compared to EUR 15.6 mn a year earlier .",positive,correcta
"hoping for an earnings pop., $WFM Bought a little yesterday, $ACAD under $2 today?",negative,incorrecta
"while a year before, Breakingviews: IAG can pay more for Aer Lingus.",negative,incorrecta
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",neutral,correcta
"Operating loss amounted to EUR 0, $KCG bot at 2.",negative,incorrecta
"( ADPnews ) - Dec 1, Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger, 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",negative,incorrecta
"the lowest close since Dec. 11 ., Hearst will be able to consolidate about 20 % of all Russian market for advertising in press after the purchase.",negative,incorrecta
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",negative,correcta
"Juha Jordan , chief engineer at Glaston , said one of the reasons for choosing Vacon as a global AC drives supplier is that it has service and support centres in the same countries where Glaston operates .",positive,correcta
"$FB gettin in the buy zone soon ;), SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales.",negative,incorrecta
"an increase of 11.2 % from a year earlier ., Sampo Bank, will lay off staff from the administrative and support functions .",negative,incorrecta
"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 .",positive,correcta
"Operating profit, totaled EUR 0.2 mn, co/j2awg, Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.",negative,incorrecta
"FDA approves NPS drug, the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",positive,incorrecta
"Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal, 538.17 USD 194.",negative,incorrecta
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,neutral,correcta
"9 % to EUR 18, slashes dividend.",positive,incorrecta
"WPP wins race for 'programmatic buying' agency Essence Digital, advances in mkt breadth slowe... http://stks.co/2TrG $QQQ, RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains.",positive,incorrecta
$AAPL short some 592.49,negative,correcta
$AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL,positive,correcta
"the export of lining stone products also increased ., in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet ., In addition to the demand in Finland.",negative,incorrecta
Delhaize Le Lion has selected the Aldata G.O.L.D. Vocal PDA solution on the Motorola WT4090 PDA terminal .,neutral,correcta
"down from EUR 3.56 mn in the first quarter of 2008 ., expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept.",negative,incorrecta
"9 % in the corresponding period in 2005, co/iuZJelfwt3.",positive,incorrecta
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",positive,correcta
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,neutral,correcta
"down from EUR 0.8 mn in the corresponding period in 2006 ., Irish housebuilder Cairn Homes plans London listing.",negative,incorrecta
"chart at 7, Spain's CaixaBank Expects To Close Deal For Banco BPI.",negative,incorrecta
"$GPRO down 25% since Tue morning, co/r26Ra.",negative,incorrecta
Long $PCLN,positive,correcta
"40, Pretax profit totaled EUR 9.0 mn, down from EUR 36.3 mn in 2007 .",negative,incorrecta
"It comes complete with an LCD touch screen system for selection of your chosen function and prices start at around the pounds 4,805 mark .",neutral,correcta
The combined value of the orders is almost EUR 3mn .,neutral,correcta
"At 12.59 pm, the company aims annual savings of some EUR3m, Via the move.",negative,incorrecta
The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,negative,correcta
"Neste Oil will publish its third quarter 2008 results on Friday , 24 October 2008 at approximately 9 am ( EET ) .",neutral,correcta
"and now consumer prices are going down almost daily due to competition ., Increased trust of our clients in YIT can be seen as apartment sales accelerated, the company was forced to make purchases with rising prices in the first half of 2008.",negative,incorrecta
"Operating profit totalled EUR 9.0 mn, down from EUR 9.7 mn in the first half of 2008 ., 6 mln ) in 2006 from 2, 0 mln ) in 2005.",negative,incorrecta
"totalled EUR 1.0 mn, Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 %.",positive,incorrecta
"BULLISH Engulfing of COCA COLA: http://stks, Talentum 's net sales in September were smaller than expected, co/fYCo $KO.",negative,incorrecta
"Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense, Dialog and BHP slump, European stocks hover near 3-week low.",negative,incorrecta
"The developers of that project predict that once it is completed in April 2009, Skanssi will attract some 4.5 million visitors annually ., Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005.",positive,incorrecta
"HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant, down $1.50 to $2.50 BK a real possibility.",positive,incorrecta
"OUTOTEC OYJ PRESS RELEASE, France raises concerns over proposed LSE-Deutsche Boerse deal.",negative,incorrecta
"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.",positive,correcta
"co/3BDNEKN7l1, UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge.",positive,incorrecta
"ConAgra Names Former Hillshire Farms CEO Connolly to Top Post, $ENDP being sued by FTC, nobody will buy them with that hanging over their heads.",positive,incorrecta
"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .",positive,correcta
"co/bGvIntk43h, pre-tax profit surged 45 % to EUR80m ., Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.",positive,incorrecta
Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,negative,correcta
"49, Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today.",positive,incorrecta
"However, the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 ., comments Stig-Goran Sandberg.",positive,incorrecta
"London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit, Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products.",negative,incorrecta
"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",positive,correcta
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,neutral,correcta
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,negative,correcta
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products, the effect of which was EUR10 .9 m in the review period ., due to the business acquisitions realized during the first half of 2008-09, the actual market shares of its members are smaller than those given in the report .",negative,incorrecta
Credit Suisse poaches Prudential's Thiam for Asian push,positive,correcta
"they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner, $SINA even though the ""report"" is untrue and has been proven unture.",negative,incorrecta
$GRPN might be selling off ahead of $P earnings...,negative,correcta
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",neutral,correcta
"However, chairman of the Board ., the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",negative,incorrecta
The construction project is scheduled to start in the second quarter of 2009 and the new building is scheduled to be in place by the end of 2010 .,neutral,correcta
The new shares entitle their holders to dividends for fiscal 2006 .,neutral,correcta
"metals price fears, Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,incorrecta
"based in the Grodno Region, reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010, Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs.",positive,incorrecta
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive,correcta
"is expected to be stronger than in 2007 ., $520 is new floor come July! :).",positive,incorrecta
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral,correcta
"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia, pretty timely coincident indicator https://t.co/m6BKHBkzK5, $FAST $GWW - daily sales slowing again, United Arab Emirates and Qatar worth 40 mln eur .",negative,incorrecta
"15 versus EUR 0, The measures result from decreased demand in technical design and product information.",positive,incorrecta
"Glaston Technologies, decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 ., $vxx starting to creep up while $spy sits near hod.",positive,incorrecta
Welcome !,neutral,correcta
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",neutral,correcta
"Making matters more difficult, 33 billion euros, which have pushed up the cost of energy.",negative,incorrecta
"Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn, the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",negative,incorrecta
An EU law on the issue may be introduced around 2010 .,neutral,correcta
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",neutral,correcta
"GlaxoSmithKline, FTSE led lower by M&S, Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense.",negative,incorrecta
"9 mln, The total need for staff cuts corresponds to about 300 man-years, Operating profit rose to 22.",negative,incorrecta
"$SPY retreats like clockwork, RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, 6 percent, Hargreaves Lansdown bucks weak markets to see assets rise 2.",positive,incorrecta
$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,positive,correcta
"nobody will buy them with that hanging over their heads, Costco: A Premier Retail Dividend Play https://t.",positive,incorrecta
"Centrica PLC & John Wood Group PLC?, Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies ''.",negative,incorrecta
"Technopolis has Finnish operations in Oulu , Vantaa , Espoo , Lappeenranta , Jyvaskyla and Tampere and is also preparing to expand its operations to Russia .",neutral,correcta
"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",neutral,correcta
"Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America, Also construction expenses have gone up in Russia.",negative,incorrecta
"The planned facility, Meggitt share price tumbles as profit falls in 'challenging year'.",negative,incorrecta
"zip , '' experts warned Tuesday .",neutral,correcta
"At the seminar , a memorandum of understanding on co-operation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation .",positive,correcta
These savings will have full impact as of the beginning of 2007 .,neutral,correcta
"Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate, 0 mn from EUR 6.",positive,incorrecta
"`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy, 26, $DXCM - Making higher highs & higher lows as it consolidates over past several weeks.",positive,incorrecta
"21 from EUR 0, 6 mn from EUR 10, Earnings per share ( EPS ) dropped to EUR 0, 1 mn.",negative,incorrecta
"darn those shorts! No chit Sherlock!, TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers.",positive,incorrecta
"$KCG bot at 2, 24, The Baltimore Police and Fire Pension.",positive,incorrecta
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",neutral,correcta
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,correcta
"The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks .",positive,correcta
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,correcta
"A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion, Return on capital employed ROCE was a negative 2, 3 % in 2007.",negative,incorrecta
"$IBIO  up 10% in premarket ready for lift off, the company has decided it will implement fixed-term temporary lay-offs ., As a result.",positive,incorrecta
"Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24, also added to the losses ., 9 million a year earlier.",negative,incorrecta
"The contract includes design , construction , delivery of equipment , installation and commissioning .",neutral,correcta
Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .,positive,correcta
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",neutral,correcta
"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade, co/e19h via @ryandetrick $SPY.",positive,incorrecta
"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",positive,correcta
"'' Proha said ., Finnish media group Talentum has issued a profit warning.",negative,incorrecta
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007, cutting costs and closing the non-profitable units, slightly down from 16.5 mn in 2006 .",positive,incorrecta
"8 mn in 2005, Operating loss increased to EUR 17mn from a loss of EUR 10, the company said .",positive,incorrecta
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006, compared to 8.4 mln euro $ 10.9 mln for 2005 ., Acquisition, 09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand.",negative,incorrecta
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral,correcta
"Malaysia ., here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ, #Apple breaks major support.",negative,incorrecta
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008, The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011.",positive,incorrecta
The value of the multi-year agreement is over EUR 2mn a year .,neutral,correcta
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,positive,correcta
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,correcta
"' she said ., BHP Billiton slashes dividend, ` After fixing our home-base, posts $5.67 billion net loss.",negative,incorrecta
"Costco: A Premier Retail Dividend Play https://t, The company expects its net sales for the whole 2009 to remain below the 2008 level, co/Fa5cnh2t0t $COST.",positive,incorrecta
`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy .,neutral,correcta
Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .,positive,correcta
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .",neutral,correcta
ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive,correcta
`` Our design team has long admired Marimekko 's vivid patterns and colors .,positive,correcta
"easyJet expects resilient demand to withstand security fears, Price target reduced to $64 from $70.",positive,incorrecta
Both the net sales and operating profit were record high in the company 's history .,positive,correcta
Consumption is forecast to grow by about 2 % .,positive,correcta
"Tesco sales rise shows tentative recovery continues, Operating loss totaled EUR 0.8 mn.",positive,incorrecta
"CompaniesCar insurer Hastings Group driving Â£180m IPO, Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008, compared to EUR 8.4 in the corresponding period in 2007 .",negative,incorrecta
"'' Chief Executive Roger Talermo said ., co/r2F3h, clearly a great investment http://stks.",positive,incorrecta
"Alma Media 's operating profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",negative,correcta
Export declined by 6 percent to 16.4 million liters .,neutral,correcta
No planned closing date was provided .,neutral,correcta
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive,correcta
"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",neutral,correcta
"$ADBE technical alerts: Expansion Breakout, co/jNDphllzq5, Volume Surge, $SAP Q1 disappoints as #software licenses down.",positive,incorrecta
The court found TelecomInvest 's arguments convincing .,positive,correcta
The combined capital of these funds is expected to be EUR 100mn-150mn .,neutral,correcta
"totaled EUR 0.2 mn, Operating profit, representing 9.7 % of net sales .",positive,incorrecta
Net sales dropped by 6 % year-on-year to EUR 11.9 million .,negative,correcta
"24 in early afternoon trading in Helsinki, Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires, 49 $ 17, Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",positive,incorrecta
"$FB  rejecting HIGHS shortable, co/q1jAu #tradeideas http://stks, co/r1j6c.",negative,incorrecta
"I'm out, $CAMT Looks like might break down, Breakingviews: IAG can pay more for Aer Lingus.",negative,incorrecta
"Mr. McDonald started the evening with his own set , featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results .",neutral,correcta
"IMO, Tesco share price tumbles after negative broker note.",negative,incorrecta
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,correcta
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",negative,correcta
"pretty steady accumulation off support today, 7 mln ) for the same period of 2007.",positive,incorrecta
"co/2TAd, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",positive,incorrecta
The company does not disclose the sum it applied for .,neutral,correcta
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",positive,correcta
"really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL, in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205, stole my tweet.",positive,incorrecta
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",neutral,correcta
"Starbucks shares down as much as ~4, the airline reported Tuesday .",positive,incorrecta
"Growth was strongest in F-Secure 's operator ISPs, RT @stockdemons think shorting here into close might be play, mobile operators and cable operators business .",positive,incorrecta
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,neutral,correcta
"Diluted earnings per share ( EPS ) declined to EUR 0, Tata Steel working with StanChart for UK unit sale - source.",positive,incorrecta
"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",positive,correcta
"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",neutral,correcta
"the company has decided it will implement fixed-term temporary lay-offs ., compared with EUR 54.3 mn a year earlier .",positive,incorrecta
- I am pleased that Bjorn Wahlroos has accepted the nomination .,positive,correcta
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive,correcta
